"filename", "language", "Markdown", "SQL", "Python", "comment", "blank", "total"
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Checker.py", "Python", 0, 0, 283, 72, 50, 405
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Login.py", "Python", 0, 0, 85, 3, 17, 105
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Parser.py", "Python", 0, 0, 301, 64, 44, 409
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\README.md", "Markdown", 2, 0, 0, 0, 1, 3
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\lexer.py", "Python", 0, 0, 47, 6, 15, 68
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\logindb.sql", "SQL", 0, 22, 0, 30, 15, 67
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\parsetab.py", "Python", 0, 0, 74, 3, 8, 85
"Total", "-", 2, 22, 790, 178, 150, 1142
