"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Checker.py", "Python", 289, 0, 72, 50, 411
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Login.py", "Python", 85, 0, 3, 17, 105
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\Parser.py", "Python", 301, 0, 64, 44, 409
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\lexer.py", "Python", 47, 0, 6, 15, 68
"c:\Users\Omar Bnh\Desktop\Compilateur-Quran\Quran-Verificator\parsetab.py", "Python", 74, 0, 3, 8, 85
"Total", "-", 796, 2, 148, 135, 1081
